titles,location,experience,domaine,contrat,salaire,etude,Unnamed: 0,more_info
Chef de chantier,Casablanca ,Pas neccessaire,Maintenance / Entretien,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Pas neccessaire,Commercial / Vente,Anapec,4 000 - 6 000 DH,Bac plus 3,,
Marketing digital/Web-markteur,Casablanca ,Pas neccessaire,Autre,CDD,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Commercial / Vente,CDI,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Marketing / Communication / Publicité / Rp,A discuter,4 000 - 6 000 DH,Bac plus 3,,
Agent de sécurité,Tanger ,Pas neccessaire,Sécurité / Surveillance / Gardiennage,CDI,2 000 - 3 000 DH,Niveau Bac,,
Touneur CN,Tanger ,2 ans,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Vacataire de langue Allemande ,Marrakech ,Pas neccessaire,Services aux Entreprises / Formation,A discuter,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,Interim,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Assistant(e) administrative,Agadir ,Pas neccessaire,Construction / Btp,CDI,A discuter,Bac plus 2,,
Technicien Réseaux Informatique,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,A discuter,A discuter,Bac plus 2,,
sushiman,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,Plus de 10 000 DH,Bac plus 2,,
femme de ménage,Fès ,1 ans,Tourisme / Hôtellerie / Restauration,Interim,2 000 - 3 000 DH,Niveau Bac,,
Professeur,Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 4,,
Dessinateur/Projeteur/2D-3D,Bouznika ,Pas neccessaire,Urbanisme / Architecture / Aménagement,CDI,6 000 - 8 000 DH,Bac plus 2,,
Assistant(e) polyvalente ,Casablanca ,Pas neccessaire,Santé / Médical,CDI,A discuter,Bac plus 2,,
Ingénieur Génie Civil/Technicien génie civile,Agadir ,Pas neccessaire,Construction / Btp,CDI,A discuter,Bac plus 5,,
RH/ assistant(e) RH,Rabat ,Pas neccessaire,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 5,,
serveur/serveuse,Temara ,Pas neccessaire,Sécurité / Surveillance / Gardiennage,A discuter,A discuter,Pas important,,
Magasinier,Tanger ,Pas neccessaire,Entreprise / Import / Export,CDI,3 000 - 4 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Tout le Maroc / A distance ,Pas neccessaire,Commercial / Vente,A discuter,Commission,Bac plus 2,,
Assistant(e) de direction,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,6 000 - 8 000 DH,Pas important,,
SALES CASH/CREDIT,Casablanca ,Pas neccessaire,Automobile,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 2,,
RH/ assistant(e) RH,Casablanca ,6 ans,Ressources Humaines / Recrutement / Intérim,CDI,Plus de 10 000 DH,Bac plus 5,,
cuisinier,Oujda ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Anapec,2 000 - 3 000 DH,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Oujda ,2 ans,Autre,A discuter,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Bouskoura ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 4,,
Marketing digital/Web-markteur,Casablanca ,Pas neccessaire,Marketing / Communication / Publicité / Rp,Interim,6 000 - 8 000 DH,Bac plus 3,,
Barman,Tanger ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
serveur/serveuse,Tanger ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Niveau Bac,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
Chauffeur,Casablanca ,Pas neccessaire,Grande Distribution,CDI,3 000 - 4 000 DH,Niveau Bac,,
Chef de partie,Rabat ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Niveau Bac,,
Infographiste/web designer/Graphiste,Mohammedia ,2 ans,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
cuisinier,Rabat ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Gérant,Fès ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Pas neccessaire,Commerce / Artisanat,CDI,A discuter,Bac plus 5,,
Conseiller/Chargé clientèle,Tout le Maroc / A distance ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Ouvrier,Casablanca ,Pas neccessaire,Autre,A discuter,A discuter,Pas important,,
chargés de recouvrement,Casablanca ,1 ans,Banque / Finance / Assurance,Interim,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,Interim,A discuter,Bac plus 2,,
Magasinier,Casablanca ,5 ans,Grande Distribution,CDI,A discuter,Bac plus 2,,
Technicien de laboratoire ,Casablanca ,Pas neccessaire,Santé / Médical,CDI,A discuter,Bac plus 3,,
Responsable de dossiers,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 5,,
Technicien Réseaux Informatique,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,8 000 - 10 000 DH,Bac plus 3,,
Compatble/ assistant(e) comptable,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 2,,
electricien/Chargé en Electricité,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 3,,
Technicien BTP,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,CDI,A discuter,Bac plus 2,,
Réceptionniste,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
Responsable production/Assistant(e) Production,Casablanca ,5 ans,Industrie / Ingénierie / Energie,A discuter,Plus de 10 000 DH,Bac plus 5,,
Agent d'opération,Taza ,Pas neccessaire,Maintenance / Entretien,CDD,A discuter,Niveau Bac,,
Ingénieur Génie Civil/Technicien génie civile,Mohammedia ,Pas neccessaire,Construction / Btp,Stage,A discuter,Bac plus 5,,
Assistante de service des affaires estudiantines,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,A discuter,Bac plus 2,,
Conseiller/Chargé clientèle,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,4 000 - 6 000 DH,Bac plus 2,,
Compatble/ assistant(e) comptable,Fès ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,Anapec,A discuter,Bac plus 2,,
Assistant(e) administrative,Mohammedia ,6 mois,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
chargé portefeuille,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
Help desk,Salé ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Tanger ,3 ans,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Assistant(e) polyvalente ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Urbanisme / Architecture / Aménagement,CDI,A discuter,Bac plus 2,,
chargé portefeuille,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Nouaceur ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,5 ans,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 4,,
Gérant,Marrakech ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,3 000 - 4 000 DH,Bac plus 2,,
chargé portefeuille,El jadida ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
Développeur Web,Nouaceur ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,CDI,8 000 - 10 000 DH,Bac plus 3,,
Infographiste/web designer/Graphiste,Nouaceur ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Infographiste/web designer/Graphiste,Kénitra ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
Technicien de Sonorisation ,Rabat ,2 ans,Maintenance / Entretien,A discuter,A discuter,Bac plus 2,,
Infographiste/web designer/Graphiste,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,CDD,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,Commission,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),El jadida ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 2,,
assistant(e)/agent import-export,Casablanca ,3 ans,Entreprise / Import / Export,CDI,A discuter,Bac plus 3,,
Cariste-SKHIRATE,Rabat ,2 ans,Industrie / Ingénierie / Energie,Interim,2 000 - 3 000 DH,Niveau Bac,,
Pompiste,Mohammedia ,Pas neccessaire,Autre,Interim,2 000 - 3 000 DH,Pas important,,
Soudeur,Khouribga ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,2 000 - 3 000 DH,Pas important,,
"Assistant Dpt (Chimie, affaire réglementaire...)",Mohammedia ,Deja Expérience/expérimentées/Premiere experiences ,Agriculture / Environnement / Espaces Verts,CDD,A discuter,Bac plus 3,,
Assistant(e) polyvalente ,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,CDD,2 000 - 3 000 DH,Bac plus 2,,
Assistant(e) administrative,Temara ,Pas neccessaire,Construction / Btp,CDI,A discuter,Bac plus 2,,
Responsable de stock/Gestionnaire de stock,Marrakech ,5 ans,Commercial / Vente,CDI,A discuter,Bac plus 3,,
Gestionnaire,Casablanca ,2 ans,Ressources Humaines / Recrutement / Intérim,A discuter,A discuter,Bac plus 3,,
assistant(e) standariste,Rabat ,2 ans,Immobilier,Interim,A discuter,Bac plus 3,,
Sociètè recrute des jeunes filles CASA,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,2 000 - 3 000 DH,Niveau Bac,,
vendeur/vendeuse,Mohammedia ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Niveau Bac,,
Compatble/ assistant(e) comptable,Marrakech ,Pas neccessaire,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Tout le Maroc / A distance ,Pas neccessaire,Santé / Médical,A discuter,Commission,Bac plus 2,,
Technicien de climatisation,Casablanca ,Pas neccessaire,Autre,A discuter,A discuter,Bac plus 2,,
Conducteur de Travaux,Casablanca ,Pas neccessaire,Autre,A discuter,A discuter,Niveau Bac,,
Machiniste de division pharmaceutique ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Biologie / Chimie / Pharmaceutique,Interim,A discuter,Bac plus 2,,
Agent d'accueil/Hotesse d'acceuil,Rabat ,Pas neccessaire,Automobile,Interim,3 000 - 4 000 DH,Bac plus 2,,
Visuel Merchandiser pour une marque de prêt-à-port,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Mode / Luxe / Beauté,CDI,A discuter,Bac plus 3,,
Ingénieur chargé d’affaires en électricité ,Agadir ,2 ans,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 5,,
Responsable Visuel Merchandising - prêt à porter,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Mode / Luxe / Beauté,CDI,A discuter,Pas important,,
Compatble/ assistant(e) comptable,Bouskoura ,3 ans,Autre,CDI,6 000 - 8 000 DH,Bac plus 2,,
Barman,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,2 000 - 3 000 DH,Pas important,,
pharmacienne,Mohammedia ,Deja Expérience/expérimentées/Premiere experiences ,Santé / Médical,CDI,A discuter,Niveau Bac,,
RH/ assistant(e) RH,Rabat ,3 ans,Édition / Imprimerie / Journalisme,A discuter,A discuter,Bac plus 3,,
Agent d'accueil/Hotesse d'acceuil,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Transport / Achat / Logistique,A discuter,A discuter,Pas important,,
Responsable/Administrateur des ventes,Casablanca ,Pas neccessaire,Entreprise / Import / Export,CDI,A discuter,Bac plus 3,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDD,3 000 - 4 000 DH,Pas important,,
Superviseur,Casablanca ,Pas neccessaire,Sécurité / Surveillance / Gardiennage,CDI,4 000 - 6 000 DH,Bac plus 2,,
Operating system,Rabat ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 2,,
Ingénieur Génie Civil/Technicien génie civile,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 5,,
Infographiste/web designer/Graphiste,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 2,,
fabrication mécanique/Mécanicien,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Automobile,Interim,2 000 - 3 000 DH,Niveau Bac,,
electricien/Chargé en Electricité,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 4,,
RESPONSABLE DES SERVICES ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 5,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,5 ans,Grande Distribution,CDI,A discuter,Bac plus 5,,
electricien/Chargé en Electricité,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
pharmacienne,Kénitra ,Deja Expérience/expérimentées/Premiere experiences ,Santé / Médical,A discuter,A discuter,Pas important,,
assitant(e) en assurance,Casablanca ,2 ans,Banque / Finance / Assurance,CDI,A discuter,Bac plus 3,,
CHARGE DE REGIE TRAFIC & TRANSMISSION-TANGER-,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Autre,Interim,4 000 - 6 000 DH,Bac plus 2,,
vendeur/vendeuse,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Santé / Médical,A discuter,A discuter,Bac plus 2,,
cuisinier,Fès ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
Dessinateur/Projeteur/2D-3D,Temara ,Pas neccessaire,Urbanisme / Architecture / Aménagement,A discuter,3 000 - 4 000 DH,Bac plus 2,,
Acheteur/Responsable achat/Assistant(e) achat,Berrechid ,Pas neccessaire,Commercial / Vente,CDI,3 000 - 4 000 DH,Bac plus 2,,
Chef de partie,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDD,4 000 - 6 000 DH,Pas important,,
Professeur,Meknès ,2 ans,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 2,,
secrétaire,Rabat ,Pas neccessaire,Santé / Médical,CDD,2 000 - 3 000 DH,Bac plus 2,,
assistant(e)/agent import-export,Agadir ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Bac plus 2,,
fabrication mécanique/Mécanicien,Rabat ,8 ans,Automobile,CDI,A discuter,Pas important,,
serveur/serveuse,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
Développeur Web,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,CDD,A discuter,Bac plus 4,,
secrétaire,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Niveau Bac,,
Assistant(e) de gestion,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 3,,
CHARGEE DE PAIE,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 3,,
Développeur Web,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 3,,
fabrication mécanique/Mécanicien,Casablanca ,2 ans,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 5,,
Chargé(e) de centre - Safi ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Automobile,CDI,3 000 - 4 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 3,,
"Recherche Installateur expérimenté en électricité,",Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Pas important,,
vendeur/vendeuse,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commerce / Artisanat,A discuter,A discuter,Bac plus 2,,
Développeur Web,Marrakech ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
chargés de recouvrement,Kénitra ,Pas neccessaire,Banque / Finance / Assurance,Interim,6 000 - 8 000 DH,Bac plus 2,,
vendeur/vendeuse,Casablanca ,Pas neccessaire,Commercial / Vente,Interim,3 000 - 4 000 DH,Bac plus 2,,
Magasinier,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Pas important,,
Horlogrie bijouterie yakouta,Rabat ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Pas important,,
Chef_de_projet,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,A discuter,A discuter,Bac plus 5,,
Assistant(e) de direction,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,A discuter,A discuter,Pas important,,
Assistant(e) administrative,Fès ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,CDI,3 000 - 4 000 DH,Bac plus 2,,
